State,County,CountyFIPS,Diagnosed,Obesity,PhysicalInactivity,Population_Aged_65_or_Older,Population_Below_Poverty,Population_Children_in_Poverty,Population_Enrolled_in_Free_or_Reduced_Lunch,Population_Food_Insecurity,Population_Minority,Population_No_Health_Insurance,Population_No_High_School_Diploma,Number_of_Primary_Care_Physicians,Newly_Diagnosed,Crowding,Unemployed,Severe_Housing_Cost_Burden,Overall_Household_Composition_&_Disability,Overall_Housing_Type_&_Transportation
Indiana,Howard County,39137.0,2033.0,8030.7,5200.6,0.5521,0.5739,16.2,49.586837294,14.2,0.4626,7.1,0.4276,50.0,137.5,0.078,0.5669,9.3066127498,0.8561,0.2509
Alabama,Madison County,13187.0,2035.5,5194.5,5003.2,0.1687,0.3908,13.5,36.624621882,13.0,0.7472,8.3,0.2607,333.0,256.2,0.2604,0.5481,10.469323883,0.1219,0.3836
Pennsylvania,Schuylkill County,48407.0,2039.6,4425.3,3867.8,0.6578,0.3573,17.4,51.759799833,12.0,0.3002,5.2,0.4473,75.0,219.8,0.078,0.6207,10.112618604,0.5667,0.4715
Louisiana,Bossier Parish,18149.0,2040.7,5660.2,4144.2,0.1238,0.6111,24.7,42.495471215,14.1,0.723,8.5,0.3996,58.0,189.4,0.5498,0.5481,14.257771421,0.4718,0.6635
Kentucky,Franklin County,46029.0,2042.6,6827.5,4891.3,0.3664,0.3309,18.3,55.863909273,12.2,0.5374,8.4,0.4231,18.0,148.9,0.518,0.5344,9.2358385424,0.4667,0.7332
Georgia,Gilmer County,21085.0,2046.0,7416.9,5679.3,0.8758,0.6032,23.5,63.714490332,15.4,0.446,19.9,0.7791,18.0,170.2,0.4817,0.5006,9.2042349727,0.4963,0.2728
West Virginia,Braxton County,20061.0,2050.8,8060.6,4411.8,0.7889,0.8446,23.0,56.899224806,16.1,0.0245,5.4,0.8313,6.0,207.7,0.4056,0.9812,5.6088109321,0.4062,0.7058
Missouri,Shelby County,20021.0,2052.1,5002.2,3999.9,0.7163,0.5127,20.5,51.37524558,14.6,0.0914,11.1,0.3384,1.0,186.1,0.518,0.1717,7.989800255,0.8494,0.3712
Washington,Columbia County,29215.0,2055.4,5765.5,5175.0,0.9612,0.2854,18.3,53.097345133,14.1,0.4479,4.8,0.2044,3.0,149.2,0.078,0.3299,6.1153174141,0.6323,0.2372
North Carolina,Rockingham County,55137.0,2056.1,5846.8,4033.0,0.6323,0.7045,22.0,63.134749419,15.3,0.6616,10.2,0.7552,34.0,172.1,0.6313,0.6032,10.317331164,0.5852,0.7351
Virginia,Westmoreland County,26029.0,2060.1,6191.9,3399.2,0.8933,0.3127,22.4,74.855875831,10.5,0.758,11.8,0.5979,3.0,138.9,0.1223,0.8051,14.049586777,0.1703,0.0761
Iowa,Calhoun County,41015.0,2060.9,5454.8,3956.7,0.8478,0.3962,12.3,39.388020833,8.8,0.1544,3.5,0.071,6.0,191.0,0.3703,0.0573,6.1410159212,0.4416,0.3107
Arkansas,Woodruff County,19125.0,2065.4,7809.7,5395.2,0.8332,0.9191,33.1,75.664621677,20.5,0.6998,6.0,0.8475,2.0,187.5,0.0981,0.8895,9.039347749,0.9723,0.4836
Texas,Fisher County,28025.0,2066.4,5534.3,3683.3,0.8621,0.5889,17.6,55.635062612,15.6,0.7558,12.6,0.6078,1.0,168.2,0.6313,0.6545,4.9555273189,0.4323,0.0592
North Carolina,Iredell County,29055.0,2070.5,5610.6,4330.8,0.2273,0.3,13.6,37.33149457,12.1,0.6195,9.0,0.4231,132.0,193.6,0.6622,0.5854,9.4240678994,0.3327,0.3069
Virginia,Orange County,28145.0,2084.2,6072.0,5658.7,0.6492,0.1115,13.7,44.743564551,8.8,0.5842,9.4,0.4629,16.0,138.4,0.7953,0.5481,10.605601817,0.8383,0.3088
Kansas,Marshall County,12079.0,2084.5,4984.4,4670.1,0.7829,0.1497,11.4,42.930738409,11.1,0.1366,6.1,0.1442,5.0,134.7,0.3359,0.2745,5.4100790514,0.5578,0.1191
Louisiana,Sabine Parish,28079.0,2085.8,5647.6,4685.8,0.6578,0.7685,26.0,59.718049457,16.2,0.7131,11.9,0.6422,3.0,189.3,0.518,0.9436,11.094801223,0.8405,0.7176
South Dakota,Bon Homme County,51023.0,2087.0,6615.5,4732.2,0.7456,0.2427,15.0,30.492424242,9.8,0.4269,5.5,0.5113,4.0,216.2,0.1888,0.0264,7.8496868476,0.0888,0.418
Maine,Androscoggin County,48067.0,2095.3,4367.9,3616.4,0.3664,0.3908,15.6,50.589629999,12.8,0.3206,8.0,0.3209,92.0,414.8,0.4817,0.3487,10.815433484,0.6135,0.8806
Kentucky,Union County,51145.0,2096.6,5247.7,4670.2,0.2502,0.8567,21.7,59.797608096,15.6,0.5259,4.8,0.5269,3.0,149.2,0.155,0.8468,3.7227478404,0.2926,0.3792
Arizona,Graham County,28091.0,2096.7,5918.1,4804.9,0.1121,0.8306,16.3,46.429579452,14.8,0.8755,6.9,0.624,18.0,164.1,0.9513,0.9175,10.108981586,0.6065,0.9854
Kentucky,Metcalfe County,13219.0,2098.9,5203.5,4300.1,0.4817,0.8911,33.6,71.052631579,17.6,0.1254,5.9,0.9258,2.0,210.0,0.6049,0.4876,6.4245810056,0.9373,0.3133
Kentucky,Hart County,54043.0,2106.9,6095.9,5089.7,0.32,0.8328,27.6,65.781083953,16.6,0.2958,6.9,0.9433,6.0,193.0,0.3703,0.7232,9.0763403263,0.7701,0.6479
Ohio,Sandusky County,55121.0,2108.3,5862.8,4035.8,0.4715,0.4169,13.8,44.489736497,12.5,0.4785,4.6,0.3308,29.0,129.1,0.0567,0.4166,9.0765013279,0.7899,0.2324
Wisconsin,Florence County,27103.0,2111.3,7174.4,4618.0,0.9201,0.1742,16.8,50.510204082,10.7,0.015,5.5,0.1165,2.0,138.4,0.7065,0.6032,13.209442491,0.3929,0.2935
Virginia,Radford City,27079.0,2112.5,6255.2,3708.0,0.0064,0.9901,14.2,45.554202192,15.6,0.5158,8.1,0.3477,10.0,135.7,0.155,0.5669,21.195753399,0.0022,0.8236
New Mexico,Harding County,27095.0,2112.5,5340.6,4553.0,0.999,0.7178,23.7,48.591549296,15.9,0.7854,7.8,0.4925,84.43614372109570,152.4,0.1223,0.6032,6.8702290076,0.4588,0.1837
Georgia,Towns County,18135.0,2113.7,4841.1,4271.5,0.9943,0.5675,19.8,61.92513369,14.8,0.1506,11.9,0.4088,8.0,195.6,0.1223,0.5006,15.290201789,0.3967,0.3639
Tennessee,Dyer County,5071.0,2114.6,6123.8,5349.9,0.3763,0.7271,22.4,64.966877215,16.4,0.5619,9.2,0.7529,13.0,149.0,0.7249,0.8051,11.748374865,0.9608,0.3951
Nebraska,Red Willow County,40133.0,2118.0,5431.2,4915.4,0.6492,0.1675,12.4,43.529411765,12.4,0.277,8.2,0.1907,9.0,203.2,0.0229,0.1484,8.3275342148,0.3827,0.4365
West Virginia,Jefferson County,26133.0,2123.0,4799.0,3722.3,0.2209,0.1675,9.1,45.599731963,7.4,0.5068,5.1,0.3996,30.0,148.0,0.4056,0.7232,11.380524052,0.1213,0.2849
New Mexico,Cibola County,27119.0,2124.5,7787.6,5870.2,0.2273,0.9401,32.4,100.0,19.6,0.9834,9.1,0.7552,13.0,152.5,0.9841,0.9879,7.2647362978,0.9685,0.9959
Arizona,Pinal County,21081.0,2126.5,4868.9,4255.0,0.6234,0.4583,14.6,57.249645338,12.0,0.8281,8.8,0.6383,73.0,201.2,0.8551,0.815,10.877878814,0.7014,0.8271
Virginia,Tazewell County,35055.0,2126.7,3837.7,3397.4,0.738,0.5889,20.3,64.368845121,15.2,0.1904,9.9,0.8039,22.0,128.6,0.1223,0.7971,10.369795707,0.4183,0.6845
Idaho,Payette County,19011.0,2129.0,6469.6,4280.9,0.419,0.4169,14.4,49.410131853,11.2,0.5833,12.5,0.6574,10.0,183.9,0.9414,0.5006,8.3034513671,0.7268,0.3196
New Jersey,Burlington County,37131.0,2130.0,3424.2,4173.8,0.32,0.0382,7.0,26.627296018,6.6,0.7131,4.3,0.0898,386.0,216.2,0.3359,0.6376,13.104246685,0.072,0.3193
Florida,Madison County,45081.0,2135.4,5566.0,4821.2,0.6578,0.958,30.1,54.018032144,16.8,0.8529,12.7,0.8255,2.0,113.8,0.8711,0.5344,16.635279347,0.6527,0.9971
Michigan,Clinton County,41045.0,2137.1,6920.3,4893.5,0.2891,0.1449,8.7,34.960587603,9.7,0.3426,4.2,0.0611,24.0,174.7,0.0981,0.2455,7.5366340655,0.0847,0.0831
Georgia,Clarke County,37149.0,2139.5,3757.7,3282.4,0.0236,0.9771,23.1,75.072540227,16.6,0.8459,13.5,0.5438,99.0,228.5,0.5801,0.6545,23.59409625,0.0242,0.9551
South Dakota,Charles Mix County,48227.0,2144.1,5607.3,4586.4,0.5113,0.7968,31.0,78.697886922,13.0,0.7711,19.0,0.4989,4.0,332.6,0.7803,0.7092,9.1092436975,0.7561,0.6918
Texas,Mills County,54109.0,2145.3,5313.2,5619.7,0.9748,0.6443,22.8,55.86797066,16.5,0.568,17.8,0.8313,1.0,180.1,0.6049,0.0433,9.1230135374,0.9831,0.4164
Florida,Marion County,17049.0,2155.7,5317.0,4625.9,0.9733,0.6258,21.7,61.889559766,13.8,0.6851,11.4,0.5339,219.0,206.8,0.4056,0.885,12.761873502,0.6285,0.6281
Colorado,Mineral County,50017.0,2158.5,6380.3,4084.6,0.9876,0.3127,15.0,48.148148148,10.5,0.4295,9.1,0.0051,1.0,171.4,0.043,0.0331,14.136125654,0.2872,0.0216
Alaska,Hoonah-Angoon Census Area,13177.0,2160.0,4834.3,3723.1,0.6428,0.1675,23.2,62.711864407,14.9,0.9124,24.7,0.2305,84.43614372109570,338.3,0.8198,0.9561,6.432748538,0.2139,0.7794
South Dakota,Hamlin County,20113.0,2160.3,6010.9,4737.5,0.2983,0.0261,9.2,37.662337662,6.3,0.2015,7.0,0.2413,1.0,176.1,0.6049,0.0487,5.8441558442,0.2521,0.2273
Missouri,St. Clair County,45049.0,2167.6,5103.3,5296.0,0.9519,0.686,28.4,61.771217712,16.7,0.1544,12.4,0.6988,4.0,185.5,0.3703,0.2611,8.0550599031,0.7931,0.4747
Florida,Dixie County,8083.0,2175.1,4840.0,3574.1,0.8478,0.8783,31.1,66.144200627,17.3,0.4877,16.2,0.8685,3.0,154.7,0.9198,0.5006,4.4343575419,0.8013,0.9904
South Carolina,Lexington County,13311.0,2175.4,4367.9,4220.4,0.2114,0.3573,11.7,53.740219092,9.1,0.632,9.5,0.3792,187.0,236.4,0.4817,0.5344,10.218280791,0.3365,0.4693
Illinois,Tazewell County,40049.0,2177.3,5980.2,5441.3,0.4715,0.1115,9.3,36.195092699,9.3,0.1802,3.8,0.1522,63.0,172.6,0.2203,0.2924,8.4192374744,0.2423,0.2617
Texas,Val Verde County,56001.0,2178.0,7453.5,4390.4,0.1541,0.7841,24.3,70.936451818,14.8,0.9882,18.0,0.9898,17.0,108.0,0.9723,0.5344,10.915694896,0.7755,0.9373
North Carolina,Caswell County,37009.0,2178.8,4154.5,4558.8,0.7036,0.7723,24.0,77.064220183,15.0,0.7911,7.4,0.8637,4.0,210.0,0.4817,0.7092,10.338805449,0.2792,0.8981
Pennsylvania,Crawford County,29167.0,2179.0,6063.6,4344.8,0.6323,0.4513,18.3,53.242424242,12.4,0.1324,8.5,0.3996,55.0,158.8,0.2203,0.5669,8.98322108,0.6434,0.7412
Ohio,Clermont County,17057.0,2179.4,4978.9,4559.7,0.2273,0.1551,10.9,33.655208411,11.5,0.2015,5.1,0.3308,137.0,273.1,0.2203,0.2745,10.4565822,0.1818,0.2053
Ohio,Carroll County,5107.0,2180.1,5298.4,4332.5,0.7036,0.3838,16.4,48.209255533,13.3,0.0497,8.4,0.4397,6.0,189.2,0.1888,0.3487,7.3216461986,0.277,0.1697
Michigan,Kalamazoo County,48147.0,2183.4,5323.6,3973.0,0.1614,0.5889,14.0,48.833703135,12.3,0.596,5.4,0.0898,265.0,240.5,0.2964,0.5854,12.078884906,0.1496,0.6947
Kansas,Ellsworth County,48071.0,2186.4,6009.3,4125.2,0.738,0.2497,12.0,40.376984127,11.3,0.453,5.5,0.2499,2.0,225.1,0.4457,0.1946,4.1107745565,0.2767,0.7959
Kansas,Kingman County,18051.0,2187.2,7264.7,5225.5,0.8004,0.0717,15.0,44.583706356,10.6,0.2114,5.7,0.071,2.0,164.9,0.078,0.4691,5.3600258314,0.4241,0.0312
Ohio,Knox County,48321.0,2189.5,5570.3,4335.5,0.4091,0.4583,14.9,44.442474739,13.2,0.0914,9.6,0.2913,22.0,276.2,0.1888,0.4691,8.9088863892,0.2961,0.3703
Tennessee,Lincoln County,13279.0,2190.5,4638.0,5150.5,0.5718,0.5739,17.6,53.749766224,13.8,0.4206,8.4,0.7383,18.0,225.1,0.7249,0.3981,8.3654209136,0.9105,0.5642
Alaska,North Slope Borough,53031.0,2192.8,5475.6,3569.2,0.001,0.1449,14.0,31.468531469,13.2,0.9631,18.6,0.3626,2.0,133.0,0.9987,0.8949,9.1836734694,0.4378,0.9924
